!PROG NUM:A,!PART NUM:A,!BLANK LEN:F32.3,!FLAT LEN:F32.3,!BEND POS 1:F32.3,!BEND ANG 1:F32.2,!BEND SPD 1:F32,!BEND POS 2:F32.3,!BEND ANG 2:F32.2,!BEND SPD 2:F32,!BEND POS 3:F32.3,!BEND ANG 3:F32.2,!BEND SPD 3:F32,!BEND POS 4:F32.3,!BEND ANG 4:F32.2,!BEND SPD 4:F32,!BEND POS 5:F32.3,!BEND ANG 5:F32.2,!BEND SPD 5:F32,!BEND POS 6:F32.3,!BEND ANG 6:F32.2,!BEND SPD 6:F32,!BEND POS 7:F32.3,!BEND ANG 7:F32.2,!BEND SPD 7:F32,!BEND POS 8:F32.3,!BEND ANG 8:F32.2,!BEND SPD 8:F32,!BEND POS 9:F32.3,!BEND ANG 9:F32.2,!BEND SPD 9:F32,!BEND POS 10:F32.3,!BEND ANG 10:F32.2,!BEND SPD 10:F32,!BEND POS 11:F32.3,!BEND ANG 11:F32.2,!BEND SPD 11:F32,!BEND POS 12:F32.3,!BEND ANG 12:F32.2,!BEND SPD 12:F32,!BEND POS 13:F32.3,!BEND ANG 13:F32.2,!BEND SPD 13:F32,!BEND POS 14:F32.3,!BEND ANG 14:F32.2,!BEND SPD 14:F32,!BEND POS 15:F32.3,!BEND ANG 15:F32.2,!BEND SPD 15:F32,!BEND POS 16:F32.3,!BEND ANG 16:F32.2,!BEND SPD 16:F32,!BEND POS 17:F32.3,!BEND ANG 17:F32.2,!BEND SPD 17:F32,!BEND POS 18:F32.3,!BEND ANG 18:F32.2,!BEND SPD 18:F32,!BEND POS 19:F32.3,!BEND ANG 19:F32.2,!BEND SPD 19:F32,!BEND POS 20:F32.3,!BEND ANG 20:F32.2,!BEND SPD 20:F32,!BEND POS 21:F32.3,!BEND ANG 21:F32.2,!BEND SPD 21:F32,!BEND POS 22:F32.3,!BEND ANG 22:F32.2,!BEND SPD 22:F32,!BEND POS 23:F32.3,!BEND ANG 23:F32.2,!BEND SPD 23:F32,!BEND POS 24:F32.3,!BEND ANG 24:F32.2,!BEND SPD 24:F32,!BEND POS 25:F32.3,!BEND ANG 25:F32.2,!BEND SPD 25:F32,!BEND POS 26:F32.3,!BEND ANG 26:F32.2,!BEND SPD 26:F32,!BEND POS 27:F32.3,!BEND ANG 27:F32.2,!BEND SPD 27:F32,!BEND POS 28:F32.3,!BEND ANG 28:F32.2,!BEND SPD 28:F32,!BEND POS 29:F32.3,!BEND ANG 29:F32.2,!BEND SPD 29:F32,!BEND POS 30:F32.3,!BEND ANG 30:F32.2,!BEND SPD 30:F32,!BEND POS 31:F32.3,!BEND ANG 31:F32.2,!BEND SPD 31:F32,!BEND POS 32:F32.3,!BEND ANG 32:F32.2,!BEND SPD 32:F32,!BEND POS 33:F32.3,!BEND ANG 33:F32.2,!BEND SPD 33:F32,!BEND POS 34:F32.3,!BEND ANG 34:F32.2,!BEND SPD 34:F32,!BEND POS 35:F32.3,!BEND ANG 35:F32.2,!BEND SPD 35:F32,!BEND POS 36:F32.3,!BEND ANG 36:F32.2,!BEND SPD 36:F32,!BEND POS 37:F32.3,!BEND ANG 37:F32.2,!BEND SPD 37:F32,!BEND POS 38:F32.3,!BEND ANG 38:F32.2,!BEND SPD 38:F32,!BEND POS 39:F32.3,!BEND ANG 39:F32.2,!BEND SPD 39:F32,!BEND POS 40:F32.3,!BEND ANG 40:F32.2,!BEND SPD 40:F32,!BEND POS 41:F32.3,!BEND ANG 41:F32.2,!BEND SPD 41:F32,!BEND POS 42:F32.3,!BEND ANG 42:F32.2,!BEND SPD 42:F32,!BEND POS 43:F32.3,!BEND ANG 43:F32.2,!BEND SPD 43:F32,!BEND POS 44:F32.3,!BEND ANG 44:F32.2,!BEND SPD 44:F32,!BEND POS 45:F32.3,!BEND ANG 45:F32.2,!BEND SPD 45:F32,!BEND POS 46:F32.3,!BEND ANG 46:F32.2,!BEND SPD 46:F32,!BEND POS 47:F32.3,!BEND ANG 47:F32.2,!BEND SPD 47:F32,!BEND POS 48:F32.3,!BEND ANG 48:F32.2,!BEND SPD 48:F32,!BEND POS 49:F32.3,!BEND ANG 49:F32.2,!BEND SPD 49:F32,!BEND POS 50:F32.3,!BEND ANG 50:F32.2,!BEND SPD 50:F32,!BEND POS 51:F32.3,!BEND ANG 51:F32.2,!BEND SPD 51:F32,!BEND POS 52:F32.3,!BEND ANG 52:F32.2,!BEND SPD 52:F32,!BEND POS 53:F32.3,!BEND ANG 53:F32.2,!BEND SPD 53:F32,!BEND POS 54:F32.3,!BEND ANG 54:F32.2,!BEND SPD 54:F32,!BEND POS 55:F32.3,!BEND ANG 55:F32.2,!BEND SPD 55:F32,!BEND POS 56:F32.3,!BEND ANG 56:F32.2,!BEND SPD 56:F32
'1,'6 BRIDGE 9 LEG .007,85.98,81.71,2.69,81,100,6.07,-81,100,9.84,-51,100,14.53,92,100,19.23,-51,100,23,-51,100,27.69,92,100,32.39,-51,100,36.16,-51,100,40.85,92,100,45.55,-51,100,49.32,-51,100,54.01,92,100,58.71,-51,100,62.48,-51,100,67.17,92,100,71.87,-51,100,75.64,-81,100,79.02,81,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2,'920-541-101,88.764,83.544,2.34,73,100,9.764,-73,100,15.22,-57.5,100,19.812,95,100,24.404,-57.5,100,29.86,-57.5,100,34.452,95,100,39.044,-57.5,100,44.5,-57.5,100,49.092,95,100,53.684,-57.5,100,59.14,-57.5,100,63.732,95,100,68.324,-57.5,100,73.78,-73,100,81.204,73,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'3,'920-542-101,82.428,77.378,2.425,58,100,6.727,-60,100,12.163,-56.45,100,16.756,95,100,21.349,-56.45,100,26.785,-56.45,100,31.378,95,100,35.971,-56.45,100,41.407,-57.45,100,46,95,100,50.593,-56.45,100,56.029,-57.45,100,60.622,95,100,65.215,-56.45,100,70.651,-60,100,74.953,58,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'4,'920-536-101,47.434,42.092,2.279000044,42,100,4.274000168,-42.5,100,16.161,50,100,18.783,-51,100,22.809,-51,100,25.432,50,100,37.318,-42.5,100,39.313,42,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'5,'920-536-102,47.234,41.892,2.279,41.5,100,4.274000168,-42,100,16.311,50,100,18.933,-51,100,22.959,-51,100,25.582,50,100,37.681,-42,100,39.613,41.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'6,'920-536-103,47.53399996,42.19200004,2.279000044,42,100,4.274000168,-42,100,16.461,55,100,19.083,-56,100,23.109,-56,100,25.732,55,100,37.918,-42,100,39.913,42,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'7,'920-536-104,47.62,41.892,2.279,41.5,100,4.274,-42,100,16.061,49,100,18.683,-50,100,22.709,-50,100,25.332,49,100,37.118,-42,100,39.113,41.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'8,'920-539-101,47.62,42.392,2.279000044,41.5,100,4.274000168,-42,100,16.161,50,100,18.783,-51,100,22.809,-51,100,25.432,50,100,37.318,-42,100,39.313,41.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'9,'920-537-101,52.902,47.168,2.082999945,77,100,6.948,-77,100,18.944,54,100,21.561,-54,100,25.586,-54,100,28.203,54,100,40.199,-77,100,45.085,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'10,'920-538-101,52.80200006,47.06799995,2.082999945,75,100,6.948,-77,100,18.894,54,100,21.511,-56,100,25.536,-56,100,28.153,54,100,40.099,-77,100,44.985,75,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
